forecast_date,n_cal,n_test,cov_50,width_50,cov_80,width_80,cov_95,width_95
2023-10-19,4298,3381,0.6613427979887607,0.09172345459923101,0.8979591836734694,0.1337790594498669,0.9858030168589175,0.1713637976929902
2023-11-04,7679,1134,0.7319223985890653,0.07235097001763668,0.9479717813051146,0.11751499118165785,0.9920634920634921,0.1573042328042328
2023-12-06,8813,2160,0.7444444444444445,0.052003703703703705,0.8902777777777777,0.09187916666666666,0.9342592592592592,0.1332824074074074
2024-01-03,10973,5067,0.8429050720347345,0.04484862837971186,0.962305111505822,0.07452970199328991,0.9857904085257548,0.10974738504045788
2024-01-18,16040,4005,0.7750312109862671,0.022092634207240953,0.9598002496878901,0.05166516853932584,0.9875156054931336,0.0837980024968789
2024-02-01,20045,1683,0.8568033273915627,0.011430778371954843,0.9928698752228164,0.03509090909090909,1.0,0.05652287581699347
2024-07-23,21728,1650,0.3563636363636364,0.07645757575757574,0.6521212121212121,0.1981030303030303,0.803030303030303,0.2759181818181818
2024-08-06,23378,1581,0.40227703984819735,0.06494370651486402,0.7400379506641366,0.16520493358633778,0.9285262492093611,0.24966034155597722
2024-08-21,24959,1140,0.49912280701754386,0.061032456140350876,0.7701754385964912,0.14500175438596494,0.9491228070175438,0.2314561403508772
2024-09-04,26099,366,0.5218579234972678,0.054778688524590134,0.8442622950819673,0.12339617486338797,0.9863387978142076,0.21492896174863388
2024-10-02,26465,75,0.48,0.04261333333333331,0.76,0.09533333333333335,0.9733333333333334,0.17012
2024-10-30,26540,3108,0.27702702702702703,0.06048359073359073,0.5904118404118404,0.11918050193050193,0.8938223938223938,0.18599195624195625
2024-11-13,29648,2765,0.33236889692585897,0.04848860759493672,0.6871609403254972,0.10518227848101268,0.9511754068716094,0.16832766726943943
2024-11-27,32413,1260,0.3246031746031746,0.043024603174603174,0.7238095238095238,0.09235476190476193,0.9706349206349206,0.14609682539682542
2024-12-11,33673,224,0.5267857142857143,0.03398214285714287,0.8616071428571429,0.07474107142857143,1.0,0.12955357142857143
2025-02-11,33897,4800,0.356875,0.04445020833333334,0.6966666666666667,0.09644812500000001,0.9108333333333334,0.15667854166666667
2025-02-27,38697,4420,0.41402714932126694,0.047976923076923084,0.7708144796380091,0.10226176470588236,0.9690045248868778,0.15982443438914026
2025-03-13,43117,2040,0.45931372549019606,0.04473627450980392,0.803921568627451,0.09148186274509802,0.9651960784313726,0.14702107843137255
2025-06-22,45157,2088,0.4932950191570881,0.05573180076628352,0.8467432950191571,0.11824377394636014,0.9980842911877394,0.18335201149425287
