forecast_date,n_cal,n_test,cov_50,width_50,cov_80,width_80,cov_95,width_95
2023-10-23,510,600,0.44,0.05671000000000002,0.695,0.09950666666666666,0.9516666666666667,0.266875
2023-11-07,1110,450,0.44222222222222224,0.09290444444444446,0.7755555555555556,0.13447111111111112,0.96,0.22269111111111112
2023-11-21,1560,320,0.675,0.09221875,0.81875,0.129996875,0.99375,0.20384375000000002
2023-12-05,1880,35,0.7428571428571429,0.10477142857142858,0.9428571428571428,0.14137142857142862,1.0,0.17897142857142861
2024-01-03,1915,306,0.9313725490196079,0.07944771241830063,0.9705882352941176,0.11856862745098037,1.0,0.23375163398692808
2024-01-19,2221,72,0.8472222222222222,0.045250000000000005,1.0,0.06570833333333335,1.0,0.07358333333333333
2024-03-30,2293,6,1.0,0.08000000000000002,1.0,0.11449999999999999,1.0,0.12516666666666668
2024-04-27,2299,38,1.0,0.09102631578947369,1.0,0.1407631578947368,1.0,0.1578947368421053
2024-06-30,2337,12,0.5,0.15750000000000003,0.5,0.1954166666666666,0.5,0.2535833333333334
2024-07-18,2349,270,0.6074074074074074,0.16124074074074074,0.6666666666666666,0.21924444444444444,0.762962962962963,0.2675222222222223
2024-08-04,2619,360,0.6666666666666666,0.12042777777777777,0.8222222222222222,0.18978611111111104,0.9166666666666666,0.23738055555555557
2024-08-19,2979,216,0.6990740740740741,0.10301388888888888,0.8611111111111112,0.16959259259259263,1.0,0.24038425925925927
2024-09-02,3195,117,0.7435897435897436,0.06948717948717947,0.8717948717948718,0.14294017094017095,0.9914529914529915,0.1995641025641026
2024-11-08,3312,720,0.49722222222222223,0.11366944444444442,0.7291666666666666,0.1791458333333333,0.8666666666666667,0.22609999999999997
2024-11-22,4032,720,0.55,0.07345277777777776,0.8305555555555556,0.1484583333333333,0.9722222222222222,0.19346527777777775
2024-12-06,4752,624,0.5608974358974359,0.05694230769230769,0.8814102564102564,0.12690384615384614,0.9919871794871795,0.16853685897435897
2024-12-20,5376,288,0.5833333333333334,0.042107638888888896,0.9097222222222222,0.10763541666666668,1.0,0.14703819444444444
2025-11-16,5664,508,0.49606299212598426,0.04833858267716535,0.75,0.10958858267716537,0.8681102362204725,0.17602952755905513
2026-05-10,6172,282,0.3191489361702128,0.09971631205673759,0.3475177304964539,0.2069255319148936,0.574468085106383,0.3122198581560283
