forecast_date,n_cal,n_test,cov_50,width_50,cov_80,width_80,cov_95,width_95
2023-10-23,510,600,0.7,0.08002333333333334,0.8,0.13639666666666667,0.9816666666666667,0.44358833333333336
2023-11-07,1110,450,0.6444444444444445,0.07226444444444445,0.8,0.13731333333333332,0.9911111111111112,0.42645555555555564
2023-11-21,1560,320,0.609375,0.065059375,0.8,0.137625,1.0,0.4015031249999999
2023-12-05,1880,35,0.7428571428571429,0.06065714285714286,0.8,0.13442857142857143,1.0,0.37502857142857154
2024-01-03,1915,306,1.0,0.03862745098039216,1.0,0.08665032679738563,1.0,0.28157843137254895
2024-01-19,2221,72,1.0,0.028402777777777777,1.0,0.07333333333333335,1.0,0.24925000000000003
2024-03-30,2293,6,1.0,0.018500000000000006,1.0,0.05550000000000003,1.0,0.23066666666666671
2024-04-27,2299,38,0.5,0.017500000000000012,0.5,0.055526315789473715,1.0,0.22955263157894742
2024-06-30,2337,12,0.25,0.05308333333333337,0.5,0.14791666666666672,1.0,0.38450000000000006
2024-07-18,2349,270,0.4148148148148148,0.054192592592592605,0.6407407407407407,0.13891851851851855,1.0,0.3860592592592593
2024-08-04,2619,360,0.5527777777777778,0.0479527777777778,0.8333333333333334,0.13092222222222225,1.0,0.33414444444444447
2024-08-19,2979,216,0.625,0.04369907407407409,0.8194444444444444,0.11940740740740739,1.0,0.3116342592592592
2024-09-02,3195,117,0.6752136752136753,0.041341880341880355,1.0,0.11465811965811964,1.0,0.2945897435897436
2024-11-08,3312,720,0.3861111111111111,0.04032638888888891,0.8152777777777778,0.10885555555555557,1.0,0.31212916666666657
2024-11-22,4032,720,0.5652777777777778,0.039019444444444454,0.8569444444444444,0.10043750000000008,1.0,0.28404444444444443
2024-12-06,4752,624,0.5865384615384616,0.035362179487179506,0.8894230769230769,0.09512499999999999,1.0,0.26296474358974364
2024-12-20,5376,288,0.7048611111111112,0.03531944444444446,0.9756944444444444,0.08746180555555562,1.0,0.25580555555555556
2025-11-16,5664,508,0.4862204724409449,0.034759842519685065,0.5728346456692913,0.08991535433070864,0.8622047244094488,0.22717716535433075
2026-05-10,6172,282,0.21631205673758866,0.061095744680851084,0.2872340425531915,0.15236879432624112,0.7624113475177305,0.3562730496453901
