forecast_date,n_cal,n_test,cov_50,width_50,cov_80,width_80,cov_95,width_95
2023-05-05,284,84,0.5119047619047619,0.10339219576719597,0.6904761904761905,0.3602619047619048,0.7023809523809523,0.38051190476190466
2023-05-13,368,36,0.5277777777777778,0.07457323232323224,0.7222222222222222,0.36877777777777776,0.7222222222222222,0.422361111111111
2023-06-13,404,120,0.20833333333333334,0.03883123219373217,0.525,0.29449807692307695,0.8333333333333334,0.43936923076923085
2023-06-26,524,80,0.4375,0.07064684829059827,0.7125,0.4930272727272727,0.7875,0.5072541666666666
2023-07-03,604,52,0.8076923076923077,0.07367168338907491,0.8461538461538461,0.16830419580419578,0.9423076923076923,0.3100320512820512
2023-08-15,656,153,0.6405228758169934,0.18076356676003755,1.0,0.5714564600250875,1.0,0.8718708372237783
2023-08-22,809,60,0.3333333333333333,0.05441282051282064,0.8333333333333334,0.2145621212121212,0.9833333333333333,0.3981736036838979
2023-08-29,869,27,0.6666666666666666,0.1174356384356383,0.9259259259259259,0.3041280108780106,1.0,0.39340179573512873
2023-10-02,896,300,0.30333333333333334,0.08235298290598285,0.8466666666666667,0.21157204184704168,0.9766666666666667,0.3121413636363636
2023-10-09,1196,450,0.58,0.17465814814814803,0.9111111111111111,0.28123636363636356,1.0,0.4277058799171843
2023-10-16,1646,600,0.535,0.1942999999999999,0.9333333333333333,0.2843823565323568,0.9833333333333333,0.3961962361466325
2023-10-23,2246,600,0.6066666666666667,0.16034824592074606,0.8866666666666667,0.267217537037037,0.9883333333333333,0.361972729468599
2023-10-31,2846,450,0.48444444444444446,0.125558909090909,0.9,0.20149534662868007,0.9822222222222222,0.2805723492063491
2023-11-07,3296,450,0.47333333333333333,0.14151284313725487,0.7133333333333334,0.20763453055296194,0.9866666666666667,0.2875229999999999
2023-11-14,3746,345,0.527536231884058,0.13925754602885038,0.8666666666666667,0.20406204144714665,1.0,0.2773988135745791
2023-11-21,4091,320,0.65,0.15230119318181826,0.94375,0.24891487967914427,1.0,0.3349866847826085
2023-11-28,4411,180,0.6722222222222223,0.15988092031425374,0.8777777777777778,0.24728341362341372,0.9833333333333333,0.33178538359788345
2023-12-05,4591,35,0.6,0.1337318181818182,0.8857142857142857,0.19691375497567437,1.0,0.2611142857142859
2023-12-27,4626,750,0.736,0.0706135151515153,0.8786666666666667,0.13572226666666734,0.9506666666666667,0.29787911428571456
2024-01-03,5376,306,0.4477124183006536,0.023129389978213497,0.6928104575163399,0.0590369896750971,0.8496732026143791,0.12186306859444113
2024-01-11,5682,168,0.5654761904761905,0.01533398033126297,0.7380952380952381,0.04293792517006818,0.8095238095238095,0.07038636363636361
2024-01-19,5850,72,0.7083333333333334,0.01020531400966178,0.8055555555555556,0.03151262626262617,0.8611111111111112,0.055321637426900515
2024-02-24,5922,8,0.75,0.0030294117647058916,0.875,0.006625000000000061,0.875,0.006931818181818178
2024-03-30,5930,6,0.8333333333333334,0.0,0.8333333333333334,0.0,1.0,0.007
2024-04-20,5936,52,0.5,0.00025226244343891477,0.5,0.0007884615384615477,0.5,0.0011765734265734252
2024-04-27,5988,38,0.5,0.0,0.5,0.0005263157894736905,0.5,0.0010526315789473751
2024-05-06,6026,20,0.5,0.0013617647058823568,0.5,0.0034636363636363575,0.5,0.004677777777777781
2024-06-05,6046,7,0.0,0.14650000000000005,0.0,0.4120285714285701,1.0,0.560924369747897
2024-06-30,6053,12,0.25,0.13815624999999998,0.75,0.3441000000000001,0.75,0.4495611111111116
2024-07-18,6065,270,0.6518518518518519,0.19281983539094644,0.7962962962962963,0.3497668871252203,0.8777777777777778,0.42499365319865334
2024-07-28,6335,270,0.6666666666666666,0.14739608187134498,0.8074074074074075,0.2828009913954357,0.8851851851851852,0.37934544973545004
2024-08-04,6605,360,0.7194444444444444,0.10298847826086974,0.8472222222222222,0.24267804232804252,0.9194444444444444,0.37561501183331003
2024-08-11,6965,360,0.6805555555555556,0.09595058922558937,0.8416666666666667,0.23980718294051714,0.9166666666666666,0.391780603132777
2024-08-19,7325,216,0.6481481481481481,0.07203395061728392,0.8240740740740741,0.17622201872201904,0.9537037037037037,0.3234393675076046
2024-08-26,7541,153,0.6339869281045751,0.06912156862745095,0.8758169934640523,0.15902193998811628,1.0,0.2790001089324617
2024-09-02,7694,117,0.7863247863247863,0.0689014483905788,0.905982905982906,0.1725491014286303,1.0,0.3202651633390763
