forecast_date,horizon,hbin,truth,naive,naive_wis,model_wis,model_abs,naive_abs,naive_cov_50,naive_cov_80,naive_cov_95,model_cov_50,model_cov_80,model_cov_95
2023-10-23,1,1-7d,0.094,0.13,0.01846602040816327,0.0034642857142857,0.003,0.036000000000000004,1,1,1,1,1,1
2023-10-23,2,1-7d,0.093,0.13,0.018608877551020413,0.0034,0.003,0.037000000000000005,1,1,1,1,1,1
2023-10-23,3,1-7d,0.092,0.13,0.018751734693877555,0.0036428571428571,0.004,0.038000000000000006,1,1,1,1,1,1
2023-10-23,4,1-7d,0.092,0.13,0.018751734693877555,0.0034714285714285,0.003,0.038000000000000006,1,1,1,1,1,1
2023-10-23,5,1-7d,0.091,0.13,0.018894591836734698,0.0034,0.003,0.03900000000000001,1,1,1,1,1,1
2023-10-23,6,1-7d,0.09,0.13,0.01903744897959184,0.0035071428571428,0.003,0.04000000000000001,1,1,1,1,1,1
2023-10-23,7,1-7d,0.089,0.13,0.019180306122448983,0.00365,0.004,0.04100000000000001,1,1,1,1,1,1
2023-10-23,1,1-7d,0.127,0.1751428571428571,0.020200714285714284,0.0256571428571428,0.038,0.0481428571428571,1,1,1,0,0,0
2023-10-23,2,1-7d,0.126,0.1751428571428571,0.020343571428571426,0.0260357142857142,0.038,0.0491428571428571,1,1,1,0,0,0
2023-10-23,3,1-7d,0.124,0.1751428571428571,0.02062928571428571,0.02565,0.038,0.0511428571428571,1,1,1,0,0,0
2023-10-23,4,1-7d,0.123,0.1751428571428571,0.020772142857142854,0.0259357142857142,0.0379999999999999,0.0521428571428571,1,1,1,0,0,0
2023-10-23,5,1-7d,0.122,0.1751428571428571,0.020914999999999996,0.0265071428571428,0.0379999999999999,0.0531428571428571,1,1,1,0,0,0
2023-10-23,6,1-7d,0.121,0.1751428571428571,0.02105785714285714,0.0266571428571428,0.0389999999999999,0.054142857142857104,1,1,1,0,0,0
2023-10-23,7,1-7d,0.12,0.1751428571428571,0.021200714285714285,0.02715,0.0389999999999999,0.055142857142857105,1,1,1,0,0,0
2023-10-23,1,1-7d,0.061,0.0162857142857142,0.02714357142857146,0.0032357142857142,0.0059999999999999,0.044714285714285804,0,0,1,1,1,1
2023-10-23,2,1-7d,0.061,0.0162857142857142,0.02714357142857146,0.0032428571428571,0.0059999999999999,0.044714285714285804,0,0,1,1,1,1
2023-10-23,3,1-7d,0.061,0.0162857142857142,0.02714357142857146,0.0032428571428571,0.0059999999999999,0.044714285714285804,0,0,1,1,1,1
2023-10-23,4,1-7d,0.061,0.0162857142857142,0.02714357142857146,0.0033214285714285,0.0059999999999999,0.044714285714285804,0,0,1,1,1,1
2023-10-23,5,1-7d,0.061,0.0162857142857142,0.02714357142857146,0.0034642857142857,0.0069999999999999,0.044714285714285804,0,0,1,1,1,1
2023-10-23,6,1-7d,0.061,0.0162857142857142,0.02714357142857146,0.0034857142857142,0.0069999999999999,0.044714285714285804,0,0,1,1,1,1
2023-10-23,7,1-7d,0.06,0.0162857142857142,0.026429285714285745,0.0033499999999999,0.0059999999999999,0.0437142857142858,0,0,1,1,1,1
2023-10-23,1,1-7d,0.421,0.5768571428571428,0.07951500000000003,0.2357571428571429,0.256,0.15585714285714286,0,0,1,0,0,0
2023-10-23,2,1-7d,0.419,0.5768571428571428,0.08094357142857146,0.2416142857142857,0.261,0.15785714285714286,0,0,1,0,0,0
2023-10-23,3,1-7d,0.418,0.5768571428571428,0.08165785714285718,0.2457928571428571,0.266,0.15885714285714286,0,0,1,0,0,0
2023-10-23,4,1-7d,0.416,0.5768571428571428,0.0830864285714286,0.2511571428571429,0.2710000000000001,0.16085714285714287,0,0,1,0,0,0
2023-10-23,5,1-7d,0.415,0.5768571428571428,0.08380071428571433,0.2558,0.2759999999999999,0.16185714285714287,0,0,1,0,0,0
2023-10-23,6,1-7d,0.413,0.5768571428571428,0.08522928571428576,0.2611642857142857,0.2809999999999999,0.16385714285714287,0,0,1,0,0,0
2023-10-23,7,1-7d,0.411,0.5768571428571428,0.08665785714285719,0.2664142857142857,0.287,0.16585714285714287,0,0,1,0,0,0
2023-10-23,1,1-7d,0.072,0.0424285714285714,0.019690510204081635,0.0468214285714285,0.0519999999999999,0.029571428571428596,0,1,1,0,0,0
2023-10-23,2,1-7d,0.071,0.0424285714285714,0.019261938775510207,0.0466714285714285,0.0509999999999999,0.028571428571428595,0,1,1,0,0,0
2023-10-23,3,1-7d,0.071,0.0424285714285714,0.019261938775510207,0.0472928571428571,0.0519999999999999,0.028571428571428595,0,1,1,0,0,0
2023-10-23,4,1-7d,0.071,0.0424285714285714,0.019261938775510207,0.0476714285714285,0.0519999999999999,0.028571428571428595,0,1,1,0,0,0
2023-10-23,5,1-7d,0.071,0.0424285714285714,0.019261938775510207,0.0485714285714285,0.0529999999999999,0.028571428571428595,0,1,1,0,0,0
2023-10-23,6,1-7d,0.071,0.0424285714285714,0.019261938775510207,0.0486714285714285,0.0529999999999999,0.028571428571428595,0,1,1,0,0,0
2023-10-23,7,1-7d,0.071,0.0424285714285714,0.019261938775510207,0.0495642857142857,0.0539999999999999,0.028571428571428595,0,1,1,0,0,0
2023-10-23,1,1-7d,0.086,0.2291428571428571,0.07043336734693878,0.0191071428571428,0.035,0.1431428571428571,0,0,1,0,0,0
2023-10-23,2,1-7d,0.084,0.2291428571428571,0.07186193877551018,0.0196071428571428,0.0349999999999999,0.14514285714285707,0,0,1,0,0,0
2023-10-23,3,1-7d,0.083,0.2291428571428571,0.0725762244897959,0.0196071428571428,0.0349999999999999,0.14614285714285707,0,0,1,0,0,0
2023-10-23,4,1-7d,0.082,0.2291428571428571,0.07329051020408162,0.0191142857142857,0.035,0.14714285714285708,0,0,1,0,0,0
2023-10-23,5,1-7d,0.08,0.2291428571428571,0.07471908163265305,0.0196428571428571,0.035,0.14914285714285708,0,0,1,0,0,0
2023-10-23,6,1-7d,0.079,0.2291428571428571,0.07543336734693876,0.0196142857142857,0.035,0.15014285714285708,0,0,1,0,0,0
2023-10-23,7,1-7d,0.078,0.2291428571428571,0.07614765306122448,0.0189785714285714,0.034,0.15114285714285708,0,0,1,0,0,0
2023-10-23,1,1-7d,0.1,0.1359999999999999,0.018466020408163253,0.0137571428571428,0.027,0.03599999999999989,1,1,1,0,0,1
2023-10-23,2,1-7d,0.099,0.1359999999999999,0.018608877551020395,0.0140428571428571,0.027,0.036999999999999894,1,1,1,0,0,1
2023-10-23,3,1-7d,0.098,0.1359999999999999,0.018751734693877538,0.0143214285714285,0.027,0.037999999999999895,1,1,1,0,0,1
2023-10-23,4,1-7d,0.097,0.1359999999999999,0.01889459183673468,0.0143214285714285,0.0269999999999999,0.038999999999999896,1,1,1,0,0,1
2023-10-23,5,1-7d,0.096,0.1359999999999999,0.019037448979591826,0.0149285714285714,0.0279999999999999,0.0399999999999999,1,1,1,0,0,1
2023-10-23,6,1-7d,0.095,0.1359999999999999,0.01918030612244897,0.0150285714285714,0.0279999999999999,0.0409999999999999,1,1,1,0,0,1
2023-10-23,7,1-7d,0.094,0.1359999999999999,0.01932316326530611,0.0150285714285714,0.0279999999999999,0.0419999999999999,1,1,1,0,0,1
2023-10-23,1,1-7d,0.047,0.0172857142857142,0.019751734693877584,0.0094571428571428,0.02,0.0297142857142858,0,1,1,0,0,1
2023-10-23,2,1-7d,0.046,0.0172857142857142,0.019323163265306153,0.0100285714285714,0.02,0.0287142857142858,0,1,1,0,0,1
2023-10-23,3,1-7d,0.045,0.0172857142857142,0.018894591836734725,0.0100642857142857,0.02,0.0277142857142858,0,1,1,0,0,1
2023-10-23,4,1-7d,0.045,0.0172857142857142,0.018894591836734725,0.0098214285714285,0.02,0.0277142857142858,0,1,1,0,0,1
2023-10-23,5,1-7d,0.044,0.0172857142857142,0.018466020408163298,0.0100642857142857,0.02,0.026714285714285798,0,1,1,0,0,1
2023-10-23,6,1-7d,0.043,0.0172857142857142,0.018037448979591867,0.0101357142857142,0.02,0.025714285714285797,0,1,1,0,0,1
2023-10-23,7,1-7d,0.043,0.0172857142857142,0.018037448979591867,0.0094571428571428,0.019,0.025714285714285797,0,1,1,0,0,1
2023-10-23,1,1-7d,0.452,0.3548571428571428,0.06459255102040817,0.1556857142857142,0.185,0.0971428571428572,0,0,1,0,0,0
2023-10-23,2,1-7d,0.453,0.3548571428571428,0.06530683673469388,0.1591928571428571,0.189,0.0981428571428572,0,0,1,0,0,0
2023-10-23,3,1-7d,0.454,0.3548571428571428,0.0660211224489796,0.1627214285714285,0.193,0.0991428571428572,0,0,1,0,0,0
2023-10-23,4,1-7d,0.454,0.3548571428571428,0.0660211224489796,0.1672357142857142,0.197,0.0991428571428572,0,0,1,0,0,0
2023-10-23,5,1-7d,0.455,0.3548571428571428,0.06673540816326531,0.1704142857142856,0.201,0.1001428571428572,0,0,1,0,0,0
2023-10-23,6,1-7d,0.455,0.3548571428571428,0.06673540816326531,0.1749928571428571,0.205,0.1001428571428572,0,0,1,0,0,0
2023-10-23,7,1-7d,0.455,0.3548571428571428,0.06673540816326531,0.1792428571428571,0.21,0.1001428571428572,0,0,1,0,0,0
2023-10-23,1,1-7d,0.065,0.2537142857142857,0.10298438775510207,0.0329642857142857,0.038,0.18871428571428572,0,0,1,0,0,0
2023-10-23,2,1-7d,0.065,0.2537142857142857,0.10298438775510207,0.0335285714285714,0.038,0.18871428571428572,0,0,1,0,0,0
2023-10-23,3,1-7d,0.065,0.2537142857142857,0.10298438775510207,0.0341785714285714,0.039,0.18871428571428572,0,0,1,0,0,0
2023-10-23,4,1-7d,0.065,0.2537142857142857,0.10298438775510207,0.0349571428571428,0.04,0.18871428571428572,0,0,1,0,0,0
2023-10-23,5,1-7d,0.065,0.2537142857142857,0.10298438775510207,0.0357142857142857,0.04,0.18871428571428572,0,0,1,0,0,0
2023-10-23,6,1-7d,0.065,0.2537142857142857,0.10298438775510207,0.0367071428571428,0.041,0.18871428571428572,0,0,1,0,0,0
2023-10-23,7,1-7d,0.065,0.2537142857142857,0.10298438775510207,0.0368571428571428,0.042,0.18871428571428572,0,0,1,0,0,0
2023-10-23,1,1-7d,0.176,0.2221428571428571,0.019914999999999995,0.0033285714285714,0.007,0.0461428571428571,1,1,1,0,0,1
2023-10-23,2,1-7d,0.174,0.2221428571428571,0.020200714285714284,0.0033285714285714,0.007,0.0481428571428571,1,1,1,0,0,1
2023-10-23,3,1-7d,0.173,0.2221428571428571,0.020343571428571426,0.0026142857142857,0.006,0.0491428571428571,1,1,1,0,1,1
2023-10-23,4,1-7d,0.171,0.2221428571428571,0.020629285714285708,0.0026142857142857,0.0059999999999999,0.05114285714285707,1,1,1,0,1,1
2023-10-23,5,1-7d,0.169,0.2221428571428571,0.020914999999999993,0.0023999999999999,0.0059999999999999,0.053142857142857075,1,1,1,0,1,1
2023-10-23,6,1-7d,0.168,0.2221428571428571,0.021057857142857135,0.0019714285714285,0.0049999999999999,0.054142857142857076,1,1,1,0,1,1
2023-10-23,7,1-7d,0.166,0.2221428571428571,0.021343571428571424,0.0019714285714285,0.005,0.05614285714285708,1,1,1,0,1,1
2023-10-23,1,1-7d,0.121,0.104,0.015751734693877553,0.0017714285714285,0.004,0.017,1,1,1,0,1,1
2023-10-23,2,1-7d,0.12,0.104,0.015608877551020412,0.0015357142857142,0.004,0.016,1,1,1,0,1,1
2023-10-23,3,1-7d,0.12,0.104,0.015608877551020412,0.0009214285714285,0.002,0.016,1,1,1,1,1,1
2023-10-23,4,1-7d,0.119,0.104,0.015466020408163268,0.0009142857142857,0.002,0.015,1,1,1,1,1,1
2023-10-23,5,1-7d,0.118,0.104,0.015323163265306125,0.0009642857142857,0.002,0.013999999999999999,1,1,1,1,1,1
2023-10-23,6,1-7d,0.117,0.104,0.015180306122448986,0.0007714285714285,0.0009999999999999,0.013000000000000012,1,1,1,1,1,1
2023-10-23,7,1-7d,0.116,0.104,0.015037448979591844,0.0007499999999999,0.001,0.01200000000000001,1,1,1,1,1,1
2023-10-23,1,1-7d,0.045,0.0781428571428571,0.018057857142857136,0.0074142857142857,0.009,0.0331428571428571,1,1,1,0,0,0
2023-10-23,2,1-7d,0.045,0.0781428571428571,0.018057857142857136,0.0068357142857142,0.009,0.0331428571428571,1,1,1,0,0,0
2023-10-23,3,1-7d,0.044,0.0781428571428571,0.018200714285714282,0.0068428571428571,0.009,0.0341428571428571,1,1,1,0,0,0
2023-10-23,4,1-7d,0.043,0.0781428571428571,0.018343571428571424,0.0070857142857142,0.009,0.0351428571428571,1,1,1,0,0,0
2023-10-23,5,1-7d,0.043,0.0781428571428571,0.018343571428571424,0.0064142857142857,0.008,0.0351428571428571,1,1,1,0,0,0
2023-10-23,6,1-7d,0.042,0.0781428571428571,0.018486428571428567,0.0068428571428571,0.0089999999999999,0.036142857142857095,1,1,1,0,0,0
2023-10-23,7,1-7d,0.042,0.0781428571428571,0.018486428571428567,0.0060571428571428,0.008,0.036142857142857095,1,1,1,0,0,0
2023-10-23,1,1-7d,0.435,0.5298571428571429,0.036425204081632696,0.1371714285714285,0.1439999999999999,0.09485714285714292,0,1,1,0,0,0
2023-10-23,2,1-7d,0.438,0.5298571428571429,0.035139489795918404,0.1394999999999999,0.1459999999999999,0.09185714285714291,0,1,1,0,0,0
2023-10-23,3,1-7d,0.44,0.5298571428571429,0.03428234693877555,0.1431714285714285,0.1499999999999999,0.08985714285714291,0,1,1,0,0,0
2023-10-23,4,1-7d,0.443,0.5298571428571429,0.03299663265306126,0.1452714285714285,0.1519999999999999,0.08685714285714291,0,1,1,0,0,0
2023-10-23,5,1-7d,0.446,0.5298571428571429,0.03171091836734698,0.1478928571428571,0.1549999999999999,0.08385714285714291,0,1,1,0,0,0
2023-10-23,6,1-7d,0.448,0.5298571428571429,0.03085377551020412,0.1512785714285714,0.1579999999999999,0.0818571428571429,0,1,1,0,0,0
2023-10-23,7,1-7d,0.451,0.5298571428571429,0.02956806122448983,0.15375,0.1609999999999999,0.0788571428571429,0,1,1,0,0,0
2023-10-23,1,1-7d,0.06,0.0401428571428571,0.01615989795918368,0.0290857142857142,0.03,0.0198571428571429,1,1,1,0,0,0
