scheme,subtype,resolution,forecast_date,target_date,horizon,location,variant,median,truth,abs_error,wis,partition_size,cov_50,width_50,lo_50,hi_50,cov_80,width_80,lo_80,hi_80,cov_95,width_95,lo_95,hi_95
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Europe,J.2.4,0.009,0.0,0.009,0.006507142857142857,13,0,0.003999999999999999,0.007,0.011,0,0.009000000000000001,0.005,0.014,0,0.015,0.004,0.019
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,J.2,0.0,0.0,0.0,3.571428571428572e-05,13,1,0.0,0.0,0.0,1,0.001,0.0,0.001,1,0.001,0.0,0.001
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,J.2.2,0.001,0.0,0.001,0.00046428571428571433,13,1,0.002,0.0,0.002,1,0.004,0.0,0.004,1,0.009,0.0,0.009
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,J.2.3,0.0,0.0,0.0,1.4285714285714297e-05,13,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.002,0.0,0.002
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,J.2.4:160K,0.0,0.0,0.0,4.285714285714286e-05,13,1,0.0,0.0,0.0,1,0.001,0.0,0.001,1,0.002,0.0,0.002
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,J.2.4:62R-158D-160K-328A,0.001,0.0,0.001,0.0007785714285714287,13,1,0.003,0.0,0.003,1,0.008,0.0,0.008,1,0.027,0.0,0.027
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,J.2.4:79V-144N-158D-160K-328A,0.0,0.0,0.0,5.0000000000000016e-05,13,1,0.0,0.0,0.0,1,0.001,0.0,0.001,1,0.003,0.0,0.003
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,K,0.961,1.0,0.039000000000000035,0.026164285714285734,13,0,0.03300000000000003,0.94,0.973,0,0.06999999999999995,0.913,0.983,0,0.11299999999999999,0.877,0.99
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,K:145N,0.0,0.0,0.0,0.00020000000000000006,13,1,0.001,0.0,0.001,1,0.002,0.0,0.002,1,0.01,0.0,0.01
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,K:272T,0.021,0.0,0.021,0.013214285714285715,13,0,0.024,0.013,0.037,0,0.049,0.007,0.056,0,0.074,0.003,0.077
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,K:80K,0.003,0.0,0.003,0.0023428571428571435,13,0,0.008,0.001,0.009,1,0.023,0.0,0.023,1,0.056,0.0,0.056
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,K:88I,0.0,0.0,0.0,0.0001785714285714286,13,1,0.001,0.0,0.001,1,0.002,0.0,0.002,1,0.007,0.0,0.007
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Japan Korea,J.2.4,0.001,0.0,0.001,0.0009214285714285714,13,0,0.001,0.001,0.002,0,0.003,0.001,0.004,1,0.007,0.0,0.007
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,J.2,0.003,0.008,0.005,0.003021428571428571,13,0,0.002,0.002,0.004,0,0.004,0.001,0.005,1,0.007,0.001,0.008
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,J.2.2,0.001,0.013,0.012,0.009628571428571429,13,0,0.001,0.001,0.002,0,0.003,0.001,0.004,0,0.006,0.0,0.006
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,J.2.3,0.018,0.004,0.013999999999999999,0.009414285714285717,13,0,0.011000000000000001,0.014,0.025,0,0.022,0.01,0.032,0,0.04,0.008,0.048
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,J.2.4:160K,0.0,0.0,0.0,4.285714285714286e-05,13,1,0.0,0.0,0.0,1,0.001,0.0,0.001,1,0.002,0.0,0.002
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,J.2.4:62R-158D-160K-328A,0.0,0.0,0.0,7.142857142857149e-06,13,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.001,0.0,0.001
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,J.2.4:79V-144N-158D-160K-328A,0.016,0.029,0.013000000000000001,0.005435714285714287,13,0,0.012,0.011,0.023,1,0.025,0.007,0.032,1,0.040999999999999995,0.004,0.045
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,K,0.898,0.937,0.039000000000000035,0.01935714285714287,13,0,0.03400000000000003,0.881,0.915,0,0.061000000000000054,0.867,0.928,1,0.10599999999999998,0.833,0.939
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,K:145N,0.002,0.0,0.002,0.0012785714285714288,13,0,0.004,0.001,0.005,1,0.009,0.0,0.009,1,0.023,0.0,0.023
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,K:272T,0.026,0.0,0.026,0.017407142857142857,13,0,0.018000000000000002,0.017,0.035,0,0.038000000000000006,0.012,0.05,0,0.065,0.009,0.074
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,K:80K,0.002,0.0,0.002,0.0011214285714285714,13,0,0.003,0.001,0.004,1,0.008,0.0,0.008,1,0.015,0.0,0.015
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,K:88I,0.011,0.008,0.002999999999999999,0.002242857142857143,13,1,0.011,0.007,0.018,1,0.025,0.004,0.029,1,0.044,0.003,0.047
