forecast_date,n_cal,n_test,cov_50,width_50,cov_80,width_80,cov_95,width_95
2023-05-05,1414,1295,0.5081081081081081,0.15669652509652507,0.8084942084942085,0.24686254826254828,0.9606177606177606,0.33723783783783784
2023-05-12,2709,1190,0.5747899159663865,0.15487394957983192,0.8168067226890756,0.23656134453781516,0.9605042016806723,0.32511428571428574
2023-05-19,3899,2310,0.5943722943722943,0.12431948051948052,0.8246753246753247,0.25866839826839827,0.9549783549783549,0.37146536796536794
2023-05-27,6209,1890,0.6084656084656085,0.13605079365079364,0.8698412698412699,0.23565132275132272,0.9761904761904762,0.3091121693121693
2023-06-03,8099,1890,0.5619047619047619,0.1344931216931217,0.8767195767195767,0.23780740740740736,0.9756613756613757,0.31156613756613755
2023-06-10,9989,2100,0.638095238095238,0.13469761904761904,0.8947619047619048,0.23353095238095237,0.9804761904761905,0.3049652380952381
2023-06-17,12089,1890,0.6555555555555556,0.12654444444444443,0.9227513227513228,0.22314550264550262,0.9883597883597883,0.2936259259259259
2023-06-30,13979,980,0.7785714285714286,0.1143377551020408,0.9959183673469387,0.20733469387755102,1.0,0.27662857142857145
2023-07-07,14959,546,0.86996336996337,0.10634798534798535,1.0,0.19407326007326003,1.0,0.2570091575091575
2023-07-14,15505,553,0.8264014466546112,0.09536528028933094,0.972875226039783,0.1912350813743219,0.9891500904159132,0.2507450271247739
2023-09-08,16058,3780,0.38121693121693123,0.11453915343915344,0.8026455026455026,0.2714023809523809,0.9486772486772487,0.3546645502645503
2023-09-15,19838,4200,0.37785714285714284,0.10979238095238093,0.7033333333333334,0.17223642857142854,0.9480952380952381,0.30036380952380953
2023-09-27,24038,4200,0.5126190476190476,0.11644619047619048,0.85,0.17081428571428572,0.98,0.2781230952380953
2023-10-04,28238,4298,0.5644485807352256,0.11288645881805492,0.8920428106095859,0.16736249418334107,0.9872033503955328,0.26876570497906005
2023-10-12,32536,4123,0.6085374727140431,0.10798399223866118,0.9114722289594955,0.1622684938151831,0.9905408682997817,0.2505510550569973
2023-10-19,36659,3381,0.6643005028098196,0.10444306418219462,0.9260573794735285,0.1602715173025732,0.9946761313220941,0.24303223898254955
2023-10-26,40040,2429,0.7216961712638946,0.09980485796624125,0.9715932482503088,0.16114985590778097,0.9975298476739399,0.24019884726224783
