forecast_date,horizon,hbin,truth,naive,naive_wis,model_wis,model_abs,naive_abs,naive_cov_50,naive_cov_80,naive_cov_95,model_cov_50,model_cov_80,model_cov_95
2023-10-09,1,1-7d,0.106,0.3988571428571428,0.23785571428571428,0.00615,0.0139999999999999,0.2928571428571428,0,0,0,1,1,1
2023-10-09,2,1-7d,0.105,0.3988571428571428,0.2388557142857143,0.0062214285714285,0.0139999999999999,0.2938571428571428,0,0,0,1,1,1
2023-10-09,3,1-7d,0.104,0.3988571428571428,0.23985571428571426,0.0062285714285714,0.0139999999999999,0.2948571428571428,0,0,0,1,1,1
2023-10-09,4,1-7d,0.104,0.3988571428571428,0.23985571428571426,0.0061214285714285,0.013,0.2948571428571428,0,0,0,1,1,1
2023-10-09,5,1-7d,0.103,0.3988571428571428,0.24085571428571426,0.0061928571428571,0.013,0.2958571428571428,0,0,0,1,1,1
2023-10-09,6,1-7d,0.102,0.3988571428571428,0.24185571428571428,0.0062,0.013,0.2968571428571428,0,0,0,1,1,1
2023-10-09,7,1-7d,0.101,0.3988571428571428,0.24285571428571423,0.0061999999999999,0.0129999999999999,0.2978571428571428,0,0,0,1,1,1
2023-10-09,1,1-7d,0.144,0.2341428571428571,0.03555571428571428,0.0545571428571428,0.0669999999999999,0.09014285714285711,0,0,1,0,0,0
2023-10-09,2,1-7d,0.143,0.2341428571428571,0.03626999999999999,0.0555499999999999,0.0679999999999999,0.09114285714285711,0,0,1,0,0,0
2023-10-09,3,1-7d,0.142,0.2341428571428571,0.03714142857142858,0.0563999999999999,0.0679999999999999,0.09214285714285711,0,0,0,0,0,0
2023-10-09,4,1-7d,0.141,0.2341428571428571,0.03814142857142858,0.0570928571428571,0.0689999999999999,0.09314285714285711,0,0,0,0,0,0
2023-10-09,5,1-7d,0.139,0.2341428571428571,0.04014142857142855,0.0565428571428571,0.069,0.09514285714285708,0,0,0,0,0,0
2023-10-09,6,1-7d,0.138,0.2341428571428571,0.04114142857142855,0.0575142857142857,0.07,0.09614285714285709,0,0,0,0,0,0
2023-10-09,7,1-7d,0.137,0.2341428571428571,0.04214142857142855,0.0582642857142857,0.07,0.09714285714285709,0,0,0,0,0,0
2023-10-09,1,1-7d,0.065,0.0424285714285714,0.017094489795918374,0.0191571428571428,0.03,0.022571428571428603,0,1,1,0,0,0
2023-10-09,2,1-7d,0.065,0.0424285714285714,0.017094489795918374,0.0195857142857142,0.031,0.022571428571428603,0,1,1,0,0,0
2023-10-09,3,1-7d,0.064,0.0424285714285714,0.016665918367346943,0.0190857142857142,0.03,0.021571428571428602,0,1,1,0,0,0
