stratum,n,n_horizons,coverage_95,width_95,wis
2023-04-28,114,17,-0.408248290463863,1.0,0.8259803921568629
2023-06-13,120,30,-0.22308168876157186,0.9985530011130117,0.9995550611790878
2023-10-02,300,30,-0.91884243082302,0.8286386523509179,1.0
2023-10-09,450,30,-0.8351296915927222,0.5692667503110177,1.0
2023-10-16,600,30,-0.8310203568025244,0.9870967741935484,1.0
2023-10-23,600,30,-0.8029423089498201,0.9789696773331378,1.0
2023-10-31,450,30,0.6458561330552779,0.9959946842042344,1.0
2023-11-07,450,30,0.6432881064514574,1.0,1.0
2023-11-14,345,23,0.7612788283838284,1.0,1.0
2023-11-21,320,16,0.45506589338277315,1.0,1.0
2023-11-28,180,9,-0.4330127018922193,1.0,1.0
2023-12-27,750,29,-0.8126662849517317,-0.9640394088669949,-0.9694581280788175
2024-01-03,306,22,-0.498997112599576,-0.867871259175607,-0.7154150197628459
2024-01-11,168,14,0.34222927858510166,-0.9736263736263736,-0.956043956043956
2024-07-18,270,30,0.9442761233388767,-0.9974413233375479,-0.9986651835372636
2024-07-28,270,30,0.8938051537934426,-0.9989987824638835,-0.9995550611790878
2024-08-04,360,30,-0.8737934634026543,-0.9986651835372636,-0.9964404894327029
2024-08-11,360,30,0.6458561330552779,-0.9995550611790878,-0.9986651835372636
2024-08-26,153,17,0.7905694150420949,-0.9901960784313727,-0.9975490196078433
2024-09-02,117,10,-0.5222329678670935,-0.9878787878787878,-0.5515151515151515
2024-11-08,720,30,0.7329826916451647,0.979305765232984,1.0
2024-11-15,720,30,0.12351131643867984,0.8838407345218496,1.0
2024-11-22,720,30,0.7275348510026953,0.839118845874479,1.0
2024-11-29,540,30,0.5807924869402376,0.8796885057127881,0.9897664071190211
2024-12-06,624,26,-0.6356896651088504,0.4844339142879045,0.9993162393162391
2024-12-13,456,19,-0.3386692994457417,-0.19181789157662452,0.987719298245614
2024-12-20,288,12,0.4803844614152615,0.8301238649809405,0.9510489510489512
2025-11-16,508,30,-0.7329826916451647,-0.9712762703571723,1.0
2026-03-22,450,30,0.21177929978188648,0.997218829176643,1.0
2026-05-10,282,30,-0.5891114328473495,0.29974405430377205,1.0
