forecast_date,n_cal,n_test,cov_50,width_50,cov_80,width_80,cov_95,width_95
2023-05-05,284,84,0.6428571428571429,0.07688095238095236,1.0,0.2091428571428572,1.0,0.2821190476190476
2023-05-13,368,36,0.6666666666666666,0.08077777777777775,1.0,0.19969444444444442,1.0,0.2813055555555556
2023-06-13,404,120,0.25,0.12631666666666672,0.75,0.1827416666666667,0.75,0.3133333333333333
2023-06-26,524,80,0.3875,0.024812500000000008,0.775,0.14073750000000002,1.0,0.3899125
2023-07-03,604,52,0.8461538461538461,0.1351730769230769,1.0,0.1702307692307693,1.0,0.348826923076923
2023-08-15,656,153,0.5228758169934641,0.17873202614379083,0.8823529411764706,0.31028104575163395,0.9281045751633987,0.4886797385620915
2023-08-22,809,60,0.5,0.13353333333333334,0.8333333333333334,0.18818333333333334,1.0,0.3558333333333334
2023-08-29,869,27,0.6666666666666666,0.11774074074074072,0.8888888888888888,0.2024074074074074,1.0,0.2728148148148148
2023-10-02,896,300,0.2966666666666667,0.10905333333333331,0.79,0.19332333333333332,0.96,0.26234
2023-10-09,1196,450,0.5622222222222222,0.11667111111111111,0.8133333333333334,0.19538666666666668,0.9577777777777777,0.24336888888888894
2023-10-16,1646,600,0.41333333333333333,0.13099666666666668,0.8366666666666667,0.19122333333333336,0.9916666666666667,0.24838500000000002
2023-10-23,2246,600,0.5266666666666666,0.13339499999999999,0.9183333333333333,0.18941833333333336,0.995,0.23103000000000004
2023-10-31,2846,450,0.6066666666666667,0.1288577777777778,0.9177777777777778,0.18387333333333333,0.9911111111111112,0.22864666666666672
2023-11-07,3296,450,0.5155555555555555,0.11947333333333333,0.8844444444444445,0.17782888888888887,1.0,0.22859555555555555
2023-11-14,3746,345,0.5565217391304348,0.12236811594202898,0.8985507246376812,0.17639710144927534,1.0,0.2239797101449275
2023-11-21,4091,320,0.728125,0.12850625,0.95,0.18171874999999998,0.9875,0.22281562500000004
2023-11-28,4411,180,0.6666666666666666,0.12396111111111112,0.9333333333333333,0.17668333333333333,0.9833333333333333,0.21641111111111117
2023-12-05,4591,35,0.8,0.11377142857142859,0.9428571428571428,0.16371428571428576,1.0,0.20345714285714286
2023-12-27,4626,750,0.8653333333333333,0.07460800000000001,0.9813333333333333,0.121964,1.0,0.182528
2024-01-03,5376,306,0.7124183006535948,0.06330065359477123,0.9771241830065359,0.09173529411764705,1.0,0.15485947712418302
2024-01-11,5682,168,0.8273809523809523,0.05604166666666666,1.0,0.08194642857142857,1.0,0.13057738095238097
2024-01-19,5850,72,0.9722222222222222,0.05284722222222222,1.0,0.07718055555555556,1.0,0.12675
2024-02-24,5922,8,1.0,0.05224999999999999,1.0,0.08000000000000002,1.0,0.13675
2024-03-30,5930,6,1.0,0.09699999999999998,1.0,0.14650000000000002,1.0,0.20716666666666664
2024-04-20,5936,52,1.0,0.09669230769230766,1.0,0.14571153846153845,1.0,0.20673076923076922
2024-04-27,5988,38,1.0,0.09499999999999993,1.0,0.14302631578947372,1.0,0.20605263157894732
2024-05-06,6026,20,1.0,0.09444999999999996,1.0,0.14100000000000001,1.0,0.20705
2024-06-05,6046,7,0.0,0.3652857142857143,0.0,0.4582857142857143,0.5714285714285714,0.5455714285714286
2024-06-30,6053,12,0.5,0.1818333333333333,0.5,0.2509166666666666,0.5,0.3080833333333333
2024-07-18,6065,270,0.6555555555555556,0.17111111111111119,0.6814814814814815,0.2369222222222222,0.7666666666666667,0.3072666666666667
2024-07-28,6335,270,0.6666666666666666,0.14575185185185185,0.7333333333333333,0.2048148148148148,0.8666666666666667,0.2739740740740741
2024-08-04,6605,360,0.6638888888888889,0.1256472222222222,0.8166666666666667,0.18252777777777776,0.9083333333333333,0.25396388888888893
