forecast_date,n_cal,n_test,cov_50,width_50,cov_80,width_80,cov_95,width_95
2023-10-19,4298,3381,0.54924578527063,0.09059214594928877,0.8482697426796806,0.15897192152223205,0.9615498373262349,0.2594681103083054
2023-11-04,7679,1134,0.6622574955908289,0.08387091906721533,0.8844797178130511,0.1479940917107583,0.9647266313932981,0.22745162127002952
2023-12-06,8813,2160,0.7180555555555556,0.08240687169312164,0.8574074074074074,0.15355110780423278,0.9365740740740741,0.23507097435897434
2024-01-03,10973,5067,0.6414051707124532,0.03438283725791126,0.8156700217090981,0.06356443546585641,0.8940201302545885,0.10656114238970057
2024-01-18,16040,4005,0.6344569288389513,0.018398893050353745,0.7935081148564295,0.040556038835960664,0.8784019975031211,0.06476413337494795
2024-02-01,20045,1683,0.7058823529411765,0.007170960946362014,0.8383838383838383,0.017471521139168198,0.9150326797385621,0.030930996236878592
2024-07-23,21728,1650,0.4684848484848485,0.14251211699538086,0.7303030303030303,0.28703297435897546,0.8703030303030304,0.42962317290552576
2024-08-06,23378,1581,0.44275774826059455,0.08891129383653094,0.7463630613535737,0.20380247493502382,0.9342188488298545,0.3452494503177614
2024-08-21,24959,1140,0.49912280701754386,0.07195313283208021,0.8131578947368421,0.1789373851294903,0.9517543859649122,0.2890050337098004
2024-09-04,26099,366,0.592896174863388,0.06701235196015809,0.8633879781420765,0.16145191826047342,0.9754098360655737,0.275535838854665
2024-10-02,26465,75,0.5066666666666667,0.06592592592592592,0.8266666666666667,0.16316477347214178,0.92,0.282057738095238
2024-10-30,26540,3108,0.2551480051480052,0.10127061339204203,0.5543758043758044,0.2130771095860381,0.7715572715572716,0.2993256525019917
2024-11-13,29648,2765,0.30524412296564196,0.06804463659041765,0.5623869801084991,0.14529366723290776,0.8253164556962025,0.24747584660605826
2024-11-27,32413,1260,0.2912698412698413,0.04832553819125245,0.6277777777777778,0.11030740169826797,0.8642857142857143,0.19482719820384287
2024-12-11,33673,224,0.36607142857142855,0.03466160714285712,0.7544642857142857,0.07931255252100837,0.8928571428571429,0.15319837821492227
2025-02-11,33897,4800,0.32395833333333335,0.07025155392156866,0.6104166666666667,0.1604050112601859,0.8235416666666666,0.2744041637278974
2025-02-27,38697,4420,0.42217194570135747,0.07673152304656744,0.748868778280543,0.17080078438366497,0.8984162895927602,0.29498832283466053
2025-03-13,43117,2040,0.4730392156862745,0.0674161093604108,0.7990196078431373,0.15867275261956626,0.9235294117647059,0.28847590312204835
2025-06-22,45157,2088,0.4564176245210728,0.0910430174072415,0.764367816091954,0.20610078117099806,0.8644636015325671,0.3053081831210634
