stratum,n,n_horizons,coverage_95,width_95,wis
Africa,358,9,0.8235584906796976,0.9833333333333333,-0.7
China,282,8,0.8783100656536799,0.9523809523809524,-0.7619047619047621
Europe,804,14,-0.9558592056280538,1.0,0.9384615384615385
Japan Korea,385,8,0.31716752370827334,0.9285714285714287,1.0
North America,866,14,-0.8272832288794485,0.7802197802197802,0.8241758241758241
Oceania,404,9,0.39330888211518983,1.0,0.9500000000000001
South America,787,14,-0.2289030191410176,0.9956043956043955,0.8901098901098902
Southeast Asia,795,14,-0.2983470948593081,0.9516483516483516,0.7406593406593407
West Asia,288,8,-0.15569141404872366,0.2380952380952381,0.9761904761904763
