forecast_date,n_cal,n_test,cov_50,width_50,cov_80,width_80,cov_95,width_95
2023-06-30,1890,980,0.49081632653061225,0.06112610722610726,0.7877551020408163,0.15194650875804894,0.860204081632653,0.2726965426170466
2023-07-07,2870,546,0.5128205128205128,0.05903983800878204,0.7637362637362637,0.12858055735114596,0.8663003663003663,0.21858725462571618
2023-07-14,3416,553,0.5895117540687161,0.09591594764488069,0.786618444846293,0.177100212823064,0.8607594936708861,0.29294255073337333
2023-09-08,3969,3780,0.34206349206349207,0.11307314551354727,0.7502645502645503,0.28027045695045705,0.9584656084656085,0.5736213217138707
2023-09-15,7749,4200,0.36857142857142855,0.09505095779220778,0.7238095238095238,0.17983170819160993,0.9428571428571428,0.36008544296021444
2023-09-27,11949,4200,0.49047619047619045,0.1027164178004537,0.7771428571428571,0.18378010475337084,0.9283333333333333,0.31616999768089044
2023-10-04,16149,4298,0.5148906468124709,0.09738712600127945,0.7994416007445323,0.17706489842753798,0.945788738948348,0.3075513063212575
2023-10-12,20447,4123,0.5430511763279166,0.0892013117640944,0.8341013824884793,0.1647672889299211,0.9529468833373756,0.28719581559184687
2023-10-19,24570,3381,0.5882874889086069,0.09084950640021358,0.8532978408754807,0.16543884897883346,0.9668737060041408,0.2858545751793315
2023-10-26,27951,2429,0.622478386167147,0.08577496324178083,0.885137916838205,0.1597259157474884,0.9736517085220255,0.272007437160611
2023-11-04,30380,1134,0.6931216931216931,0.07719873829873827,0.9153439153439153,0.1532356542047017,0.9656084656084656,0.25757927424861515
2023-12-06,31514,2160,0.7449074074074075,0.0950864544753088,0.9171296296296296,0.17686112042460078,0.9666666666666667,0.30536871492704826
2023-12-13,33674,760,0.7631578947368421,0.08008758458646612,0.9184210526315789,0.14908284216557435,0.975,0.2494483933812898
2024-01-03,34434,5067,0.671600552595224,0.04065930376106275,0.8292875468719163,0.07368110566275175,0.901716992303138,0.12728043257388033
2024-01-10,39501,4158,0.7171717171717171,0.026876313398535613,0.8677248677248677,0.050863266451361674,0.9223184223184223,0.09077751009055354
2024-01-18,43659,4005,0.683645443196005,0.025005326894014045,0.8069912609238452,0.04632148564294631,0.8848938826466917,0.07924427233547081
2024-01-25,47664,2736,0.7401315789473685,0.019382120178392134,0.8453947368421053,0.037592434782182604,0.910453216374269,0.06519016741056213
2024-02-01,50400,1683,0.7308377896613191,0.009572776446001609,0.8484848484848485,0.020660686358591467,0.916815210932858,0.039232676343264564
2024-02-10,52083,558,0.7383512544802867,0.006933637449766475,0.8512544802867383,0.01622350870455709,0.921146953405018,0.03224287646692976
2024-05-27,52641,100,0.74,0.11260466666666663,0.88,0.18990148033126303,0.96,0.27080297479156157
2024-07-23,52741,1650,0.4951515151515152,0.1776772566333191,0.7763636363636364,0.3222468128712646,0.9084848484848485,0.500121691142191
2024-07-30,54391,1524,0.4881889763779528,0.1385316412153026,0.7578740157480315,0.2580582192850893,0.9258530183727034,0.41919244995190813
2024-08-06,55915,1581,0.5218216318785579,0.11508431701126187,0.8089816571790006,0.22960526072599105,0.9538266919671095,0.3882055133881509
2024-08-14,57496,1407,0.5152807391613362,0.09988024164889832,0.8372423596304194,0.20991380963662418,0.9324804548685146,0.33767382475378194
2024-08-21,58903,1140,0.5885964912280702,0.09489295358494271,0.8517543859649123,0.19974420725708378,0.9535087719298245,0.328100419751486
2024-08-28,60043,681,0.631424375917768,0.07763381348623635,0.8942731277533039,0.1719823432314737,0.9720998531571219,0.2880946320770109
2024-09-04,60724,366,0.639344262295082,0.08624648759777118,0.9153005464480874,0.18447910670710552,0.9754098360655737,0.3114513769472786
2024-09-11,61090,45,0.7555555555555555,0.08792716049382718,0.9555555555555556,0.18919612200435737,1.0,0.30465968253968256
2024-10-02,61135,75,0.5466666666666666,0.08689703703703701,0.8533333333333334,0.19035973262032085,0.92,0.3064193809523809
2024-10-23,61210,3437,0.40384055862670937,0.15192639622040247,0.6156531859179517,0.2596433948324747,0.8143729997090486,0.3542023130637183
2024-10-30,64647,3108,0.36936936936936937,0.12334843491450628,0.6293436293436293,0.23726662468133675,0.833011583011583,0.3301809845559846
2024-11-06,67755,2751,0.3362413667757179,0.10514701484718698,0.6383133406034169,0.20010538592027155,0.8295165394402035,0.2989803182681045
2024-11-13,70506,2765,0.3367088607594937,0.08832769305363107,0.6499095840867993,0.1755010526162282,0.8520795660036167,0.2780764707126467
2024-11-20,73271,2100,0.31,0.07061928210678214,0.6438095238095238,0.14777877977424025,0.8566666666666667,0.23303312471655324
2024-11-27,75371,1260,0.34365079365079365,0.06413851916551638,0.7150793650793651,0.1378991640353871,0.8650793650793651,0.21737640272926012
2024-12-04,76631,735,0.42585034013605444,0.054637120181405874,0.7727891156462585,0.11586494249873854,0.9006802721088435,0.19741502906617206
2024-12-11,77366,224,0.4107142857142857,0.043286760341788535,0.78125,0.09905168625421178,0.8928571428571429,0.17422291109625682
